kind,author,date,url,uri,text,matched_keyword,parent_url,parent_uri
post,latinus-us.bsky.social,2025-10-08T23:20:51.310000+00:00,https://bsky.app/profile/latinus-us.bsky.social/post/3m2prrrh7hk2p,at://did:plc:cezoifmdms7jrhxib3kob544/app.bsky.feed.post/3m2prrrh7hk2p,"México aprueba aplicación de vacuna contra la tuberculosis. 
#Latinus #InformaciónParaTi
latinus.us/mexico/2025/...",vacuna,,
post,topoesfera.aldea.social,2025-10-08T21:32:52.874000+00:00,https://bsky.app/profile/topoesfera.aldea.social/post/3m2plqp4zsk2b,at://did:plc:eh4smjnbz3xtlvd2us33b5i4/app.bsky.feed.post/3m2plqp4zsk2b,Yo me vacuné cuando la vacuna de la gripe de la temporada pasada.,vacuna,,
post,emhmy.bsky.social,2025-10-08T21:18:30.286000+00:00,https://bsky.app/profile/emhmy.bsky.social/post/3m2pkwyiwpk2n,at://did:plc:tjjpep2ctmlnswhjg7p5pk24/app.bsky.feed.post/3m2pkwyiwpk2n,"Me flipa la gente que por dar patadas a un balón se creen con derecho a dar su opinión sobre hechos que desconocen esperando que la gente no sé ría de ellos.

""Tomo magnesio, creatina, cafeína, LSD, pastis y drogaina pero no me pongo la vacuna del COVID porque no sé qué tiene""",vacuna,,
post,wfhcclinic.bsky.social,2025-10-08T18:24:21.958000+00:00,https://bsky.app/profile/wfhcclinic.bsky.social/post/3m2pb7m7bfk2m,at://did:plc:rm4vqedxac3ix25zvw7pomou/app.bsky.feed.post/3m2pb7m7bfk2m,"¡Nuestro equipo se subió las mangas y se vacunó contra la gripe! 💉
Vacunarse contra la gripe es rápido, seguro y una de las mejores maneras de mantenerse sano esta temporada. ¿Usted ya recibió su vacuna?

¡Agende una cita hoy! 📞 310-450-2191

Fuente: www.cdc.gov/flu-vaccines-work/benefits/index.html",vacuna,,
post,patricia-la-pifia.bsky.social,2025-10-08T18:13:54.437000+00:00,https://bsky.app/profile/patricia-la-pifia.bsky.social/post/3m2pamvqtwc2r,at://did:plc:7m2eihrplmnvqis2dna7z3nd/app.bsky.feed.post/3m2pamvqtwc2r,"Siendo futbolista imagino que la media neurona no le da más de sí y, además de “frumigarnos”, supongo que será terraplanista, ferviente seguidor de la teoría de que nos implantaron el “chis” con la vacuna del corona o de que hay una conspiración para volvernos a todas bolleras y a ellos maricas.",vacuna,,
post,anaipormar.bsky.social,2025-10-08T18:10:30.757000+00:00,https://bsky.app/profile/anaipormar.bsky.social/post/3m2pagtizoc2s,at://did:plc:f6y42pxhf355xvzcfua5fxnp/app.bsky.feed.post/3m2pagtizoc2s,"El Ministerio de Sanidad no está llamando para la ""quinta dosis"" de la vacuna contra el coronavirus
#DesmontandoBulos ‼️

www.rtve.es/noticias/202...",vacuna,,
post,juanelosag.bsky.social,2025-10-08T15:58:23.248000+00:00,https://bsky.app/profile/juanelosag.bsky.social/post/3m2oz2lano22k,at://did:plc:hyhgh37lgzzitb3flsnf5uzr/app.bsky.feed.post/3m2oz2lano22k,La tercera parte de la población (en EE.UU.) no sabe qué es el virus del papiloma humano (VPH) y otro tercio no sabe que existe una vacuna frente a él. (sigue),vacuna,,
post,xc32tk.bsky.social,2025-10-08T15:05:24.260000+00:00,https://bsky.app/profile/xc32tk.bsky.social/post/3m2ow3tjn7227,at://did:plc:js5hxm5ule3hfmkhp5lxslaj/app.bsky.feed.post/3m2ow3tjn7227,COMO UNA VACUNA VA A CAUSAR UN NEUROTIPO,vacuna,,
post,franjavierzgz.bsky.social,2025-10-08T10:44:38.101000+00:00,https://bsky.app/profile/franjavierzgz.bsky.social/post/3m2ohjk7cms24,at://did:plc:ozjeosxkbjzeo3jds22x3ojd/app.bsky.feed.post/3m2ohjk7cms24,"Vacuna gripe ✅️
Vacuna covid ☠️❌️",vacuna,,
post,intensito.bsky.social,2025-10-08T10:04:53.186000+00:00,https://bsky.app/profile/intensito.bsky.social/post/3m2ofchqxhs2v,at://did:plc:exaskewix7hntiafrrub7oup/app.bsky.feed.post/3m2ofchqxhs2v,Ha tocado vacuna de gripe y covid otra vez y estoy cruzando dedos porque el año pasado se sintió como si me atropellara un camión.,vacuna,,
